Date,Open,High,Low,Close,Adj Close,Volume,Daliy Return
2015/9/17,28.915001,29.122499,28.43,28.48,26.318771,256450400,1
2015/9/18,28.0525,28.575001,27.967501,28.362499,26.210186,297141200,0.995874263
2015/9/21,28.4175,28.842501,28.415001,28.8025,26.616798,200888000,1.015513478
2015/9/22,28.344999,28.545,28.129999,28.35,26.198639,201384800,0.984289558
2015/9/23,28.407499,28.68,28.325001,28.58,26.41118,143026800,1.008112875
2015/9/24,28.3125,28.875,28.092501,28.75,26.568277,200878000,1.005948216
2015/9/25,29.110001,29.172501,28.504999,28.6775,26.50128,224607600,0.997478261
2015/9/28,28.4625,28.6425,28.110001,28.110001,25.976849,208436000,0.980211002
2015/9/29,28.2075,28.377501,26.965,27.264999,25.195972,293461600,0.969939453
2015/9/30,27.5425,27.885,27.182501,27.575001,25.482449,265892000,1.011369962
2015/10/1,27.2675,27.405001,26.827499,27.395,25.316107,255716400,0.993472312
2015/10/2,27.002501,27.752501,26.887501,27.594999,25.500929,232079200,1.007300566
2015/10/5,27.469999,27.842501,27.2675,27.695,25.593342,208258800,1.003623881
2015/10/6,27.657499,27.934999,27.442499,27.827499,25.715784,192787200,1.004784221
2015/10/7,27.934999,27.942499,27.352501,27.695,25.593342,187062400,0.995238559
2015/10/8,27.547501,27.547501,27.0525,27.375,25.297623,247918400,0.988445568
2015/10/9,27.5,28.07,27.372499,28.030001,25.902922,211064400,1.023926977
2015/10/12,28.182501,28.1875,27.860001,27.9,25.782785,121868800,0.995362077
2015/10/13,27.705,28.112499,27.67,27.9475,25.826679,132197200,1.001702509
2015/10/14,27.8225,27.879999,27.389999,27.5525,25.461657,177849600,0.985866357
2015/10/15,27.7325,28.025,27.622499,27.965,25.842854,150694000,1.014971418
2015/10/16,27.945,28,27.6325,27.76,25.653408,156930400,0.992669408
2015/10/19,27.700001,27.9375,27.5275,27.932501,25.81282,119036800,1.006214013
2015/10/20,27.834999,28.5425,27.705,28.442499,26.284117,195871200,1.018258229
2015/10/21,28.5,28.895,28.424999,28.440001,26.281809,167180800,0.999912174
2015/10/22,28.5825,28.875,28.525,28.875,26.683798,166616400,1.015295323
2015/10/23,29.174999,29.807501,29.0825,29.77,27.510878,237467600,1.030995671
2015/10/26,29.52,29.532499,28.73,28.82,26.632969,265335200,0.96808868
2015/10/27,28.85,29.135,28.497499,28.637501,26.464319,279537600,0.993667627
2015/10/28,29.2325,29.825001,29.014999,29.817499,27.554773,342205600,1.041204643
2015/10/29,29.674999,30.172501,29.567499,30.1325,27.845867,204909200,1.0105643
2015/10/30,30.247499,30.305,29.862499,29.875,27.607912,197461200,0.99145441
2015/11/2,30.200001,30.34,29.9025,30.295,27.99604,128813200,1.014058577
2015/11/3,30.1975,30.872499,30.174999,30.6425,28.317165,182076000,1.01147054
2015/11/4,30.782499,30.955,30.405001,30.5,28.18548,179544400,0.995349596
2015/11/5,30.4625,30.672501,30.045,30.23,28.055548,158210800,0.991147541
2015/11/6,30.2775,30.452499,30.155001,30.264999,28.088028,132169200,1.001157757
2015/11/9,30.24,30.452499,30.012501,30.1425,27.974346,135485600,0.995952453
2015/11/10,29.225,29.5175,29.014999,29.192499,27.092672,236511600,0.968483006
2015/11/11,29.092501,29.355,28.8025,29.0275,26.939545,180872000,0.994347897
2015/11/12,29.065001,29.205,28.9125,28.93,26.849056,130102400,0.996641116
2015/11/13,28.799999,28.8925,28.067499,28.084999,26.064838,183249600,0.970791531
2015/11/16,27.844999,28.559999,27.75,28.545,26.491756,152426800,1.016378886
2015/11/17,28.73,28.762501,28.33,28.422501,26.378065,110467600,0.995708565
2015/11/18,28.940001,29.372499,28.875,29.3225,27.213324,186698800,1.031665018
2015/11/19,29.41,29.9375,29.190001,29.695,27.559031,173183200,1.012703555
2015/11/20,29.799999,29.98,29.7125,29.825001,27.67968,137148400,1.004377875
2015/11/23,29.817499,29.932501,29.334999,29.4375,27.320057,129930000,0.987007511
2015/11/24,29.3325,29.8375,29.280001,29.719999,27.582235,171212800,1.009596569
2015/11/25,29.8025,29.807501,29.48,29.5075,27.385017,85553200,0.992849966
2015/11/27,29.5725,29.602501,29.4,29.452499,27.333977,52185600,0.998136033
2015/11/30,29.497499,29.852501,29.4375,29.575001,27.447666,156721200,1.004159308
2015/12/1,29.6875,29.702499,29.215,29.334999,27.224922,139409600,0.991884971
2015/12/2,29.334999,29.5275,29.02,29.07,26.978989,133546400,0.990966456
2015/12/3,29.137501,29.1975,28.555,28.799999,26.728411,166278000,0.99071204
2015/12/4,28.8225,29.8125,28.7775,29.7575,27.617037,231108000,1.033246564
2015/12/7,29.745001,29.965,29.452499,29.57,27.443026,128336800,0.993699067
2015/12/8,29.379999,29.65,29.215,29.557501,27.431423,137238000,0.999577308
2015/12/9,29.41,29.422501,28.77,28.905001,26.825855,185445600,0.977924385
2015/12/10,29.01,29.235001,28.877501,29.0425,26.953466,116850800,1.004756928
2015/12/11,28.797501,28.8475,28.2125,28.295,26.259735,187544800,0.974261858
2015/12/14,28.045,28.17,27.4475,28.120001,26.097322,257274800,0.993815197
2015/12/15,27.985001,28.200001,27.5875,27.622499,25.635612,213292400,0.982307895
2015/12/16,27.7675,27.997499,27.200001,27.834999,25.832823,224954000,1.007693004
2015/12/17,28.004999,28.0625,27.245001,27.245001,25.285263,179091200,0.978803736
2015/12/18,27.227501,27.379999,26.452499,26.5075,24.600809,385813200,0.972930777
2015/12/21,26.82,26.842501,26.3925,26.8325,24.902431,190362400,1.012260681
2015/12/22,26.85,26.93,26.612499,26.807501,24.879232,131157600,0.999068331
2015/12/23,26.817499,27.2125,26.799999,27.1525,25.199411,130629600,1.012869495
2015/12/24,27.25,27.25,26.987499,27.0075,25.064844,54281600,0.994659792
2015/12/28,26.897499,26.922501,26.545,26.705,24.784105,106816800,0.988799408
2015/12/29,26.74,27.3575,26.715,27.184999,25.229576,123724800,1.017974125
2015/12/30,27.145,27.174999,26.795,26.83,24.90011,100855200,0.986941364
2015/12/31,26.752501,26.7575,26.205,26.315001,24.422157,163649200,0.980805106
